GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
GitHub Copilot SDK :: Java,com.github.copilot,SystemMessageMode,0,35,0,0,0,8,0,3,0,3
GitHub Copilot SDK :: Java,com.github.copilot,CliServerManager.ProcessInfo,0,9,0,0,0,1,0,1,0,1
GitHub Copilot SDK :: Java,com.github.copilot,ExtractedTransforms,0,9,0,0,0,1,0,1,0,1
GitHub Copilot SDK :: Java,com.github.copilot,JsonRpcException,0,10,0,0,0,4,0,2,0,2
GitHub Copilot SDK :: Java,com.github.copilot,ConnectionState,0,27,0,0,0,5,0,1,0,1
GitHub Copilot SDK :: Java,com.github.copilot,CopilotClient,289,1095,55,105,57,250,53,83,6,50
GitHub Copilot SDK :: Java,com.github.copilot,CopilotSession,1003,1475,97,110,227,361,101,105,34,66
GitHub Copilot SDK :: Java,com.github.copilot,CopilotSession.AgentGetCurrentResponse,6,0,0,0,1,0,1,0,1,0
GitHub Copilot SDK :: Java,com.github.copilot,CopilotSession.AgentSelectResponse,6,0,0,0,1,0,1,0,1,0
GitHub Copilot SDK :: Java,com.github.copilot,LoggingHelpers,14,51,3,3,4,10,3,3,0,3
GitHub Copilot SDK :: Java,com.github.copilot,EventErrorPolicy,0,15,0,0,0,3,0,1,0,1
GitHub Copilot SDK :: Java,com.github.copilot,SdkProtocolVersion,0,24,0,0,0,7,0,4,0,4
GitHub Copilot SDK :: Java,com.github.copilot,CliServerManager,81,563,20,66,22,126,18,39,1,13
GitHub Copilot SDK :: Java,com.github.copilot,JsonRpcClient,31,671,5,67,10,178,5,53,0,22
GitHub Copilot SDK :: Java,com.github.copilot,CopilotClient.Connection,0,12,0,0,0,1,0,1,0,1
GitHub Copilot SDK :: Java,com.github.copilot,RpcHandlerDispatcher,1250,0,94,0,304,0,91,0,44,0
GitHub Copilot SDK :: Java,com.github.copilot,SessionRequestBuilder,0,648,3,95,0,163,3,54,0,8
GitHub Copilot SDK :: Java,com.github.copilot,LifecycleEventManager,0,176,1,7,0,41,1,11,0,8
GitHub Copilot SDK :: Java,com.github.copilot,CopilotSession.SessionUiApiImpl,330,6,44,0,62,1,30,1,8,1
GitHub Copilot SDK :: Java,com.github.copilot,CopilotSession.AgentListResponse,6,0,0,0,1,0,1,0,1,0
GitHub Copilot SDK :: Java,com.github.copilot.generated.rpc,SessionPlanApi,0,50,0,0,0,10,0,5,0,5
GitHub Copilot SDK :: Java,com.github.copilot.generated.rpc,SessionsSaveResult,3,0,0,0,1,0,1,0,1,0
GitHub Copilot SDK :: Java,com.github.copilot.generated.rpc,SessionWorkingDirectoryContextHostType,57,0,4,0,8,0,6,0,4,0
GitHub Copilot SDK :: Java,com.github.copilot.generated.rpc,PermissionUrlsConfig,9,0,0,0,1,0,1,0,1,0
GitHub Copilot SDK :: Java,com.github.copilot.generated.rpc,SessionCommandsApi,82,30,0,0,13,8,5,3,5,3
GitHub Copilot SDK :: Java,com.github.copilot.generated.rpc,DiscoveredMcpServerType,32,39,4,0,4,6,4,2,2,2
GitHub Copilot SDK :: Java,com.github.copilot.generated.rpc,SessionPermissionsLocationsApplyParams,9,0,0,0,1,0,1,0,1,0
GitHub Copilot SDK :: Java,com.github.copilot.generated.rpc,SessionScheduleApi,28,12,0,0,4,5,2,2,2,2
GitHub Copilot SDK :: Java,com.github.copilot.generated.rpc,SessionMetadataContextInfoResult,6,0,0,0,1,0,1,0,1,0
GitHub Copilot SDK :: Java,com.github.copilot.generated.rpc,SessionsSetAdditionalPluginsResult,3,0,0,0,1,0,1,0,1,0
GitHub Copilot SDK :: Java,com.github.copilot.generated.rpc,SessionPermissionsApi,92,76,0,0,14,15,6,4,6,4
GitHub Copilot SDK :: Java,com.github.copilot.generated.rpc,SessionUsageGetMetricsResult,0,36,0,0,0,1,0,1,0,1
GitHub Copilot SDK :: Java,com.github.copilot.generated.rpc,SendMode,57,0,4,0,8,0,6,0,4,0
GitHub Copilot SDK :: Java,com.github.copilot.generated.rpc,SessionFsSqliteExistsParams,6,0,0,0,1,0,1,0,1,0
GitHub Copilot SDK :: Java,com.github.copilot.generated.rpc,SessionEventLogApi,64,12,0,0,10,5,4,2,4,2
